edge_id,node_a,node_b,similarity
0,0,192,0.823529
1,0,1088,0.000000
2,192,1088,0.176471
3,1,1661,0.588235
4,1,1753,0.235294
5,1661,1753,0.176471
6,2,1207,0.941176
7,2,1541,0.000000
8,1207,1541,0.058824
9,3,231,0.176471
10,3,1158,0.823529
11,231,1158,0.000000
12,3,313,0.705882
13,3,1685,0.000000
14,313,1685,0.294118
15,3,605,0.076923
16,3,1184,0.000000
17,605,1184,0.923077
18,6,223,0.714286
19,6,1427,0.285714
20,223,1427,0.000000
21,6,224,0.333333
22,6,528,0.500000
23,224,528,0.166667
24,6,741,0.875000
25,6,1233,0.125000
26,741,1233,0.000000
27,6,1358,0.461538
28,6,1762,0.461538
29,1358,1762,0.076923
30,7,893,0.555556
31,7,1540,0.111111
32,893,1540,0.333333
33,7,1111,0.111111
34,7,1768,0.222222
35,1111,1768,0.666667
36,8,414,0.642857
37,8,1675,0.071429
38,414,1675,0.285714
39,8,906,0.000000
40,8,1574,0.812500
41,906,1574,0.187500
42,8,967,0.058824
43,8,1763,0.705882
44,967,1763,0.235294
45,9,183,0.375000
46,9,1793,0.000000
47,183,1793,0.625000
48,11,50,0.187500
49,11,1500,0.187500
50,50,1500,0.625000
51,11,370,0.882353
52,11,554,0.117647
53,370,554,0.000000
54,11,588,0.066667
55,11,991,0.933333
56,588,991,0.000000
57,11,817,0.000000
58,11,1007,0.833333
59,817,1007,0.166667
60,12,1402,0.200000
61,12,1723,0.066667
62,1402,1723,0.733333
63,13,76,0.277778
64,13,1042,0.722222
65,76,1042,0.000000
66,13,990,0.800000
67,13,1502,0.100000
68,990,1502,0.100000
69,14,323,0.684211
70,14,500,0.210526
71,323,500,0.105263
72,15,295,0.062500
73,15,732,0.625000
74,295,732,0.312500
75,15,380,0.111111
76,15,1167,0.388889
77,380,1167,0.500000
78,15,408,0.375000
79,15,1484,0.437500
80,408,1484,0.187500
81,16,430,0.312500
82,16,431,0.375000
83,430,431,0.312500
84,16,1286,0.687500
85,16,1364,0.312500
86,1286,1364,0.000000
87,18,989,0.687500
88,18,1692,0.187500
89,989,1692,0.125000
90,20,664,0.050000
91,20,1705,0.500000
92,664,1705,0.450000
93,22,174,0.666667
94,22,1192,0.111111
95,174,1192,0.222222
96,23,664,0.315789
97,23,1633,0.421053
98,664,1633,0.263158
99,24,128,1.000000
100,24,1439,0.000000
101,128,1439,0.000000
102,25,909,0.166667
103,25,1091,0.833333
104,909,1091,0.000000
105,26,64,0.055556
106,26,798,0.833333
107,64,798,0.111111
108,26,92,0.000000
109,26,1238,1.000000
110,92,1238,0.000000
111,26,118,0.157895
112,26,218,0.052632
113,118,218,0.789474
114,26,563,0.000000
115,26,1618,0.611111
116,563,1618,0.388889
117,26,734,0.176471
118,26,984,0.117647
119,734,984,0.705882
120,27,152,0.611111
121,27,701,0.000000
122,152,701,0.388889
123,27,258,0.928571
124,27,1553,0.000000
125,258,1553,0.071429
126,27,307,0.125000
127,27,1351,0.062500
128,307,1351,0.812500
129,27,875,0.000000
130,27,1147,0.764706
131,875,1147,0.235294
132,28,312,0.230769
133,28,1771,0.384615
134,312,1771,0.384615
135,28,737,0.111111
136,28,1620,0.888889
137,737,1620,0.000000
138,29,701,0.875000
139,29,1397,0.125000
140,701,1397,0.000000
141,29,935,0.200000
142,29,1516,0.666667
143,935,1516,0.133333
144,29,1569,0.875000
145,29,1690,0.125000
146,1569,1690,0.000000
147,30,189,0.000000
148,30,1793,1.000000
149,189,1793,0.000000
150,30,217,0.090909
151,30,770,0.636364
152,217,770,0.272727
153,31,279,0.058824
154,31,1733,0.705882
155,279,1733,0.235294
156,32,55,0.941176
157,32,899,0.000000
158,55,899,0.058824
159,32,151,0.058824
160,32,445,0.882353
161,151,445,0.058824
162,32,559,0.076923
163,32,1318,0.076923
164,559,1318,0.846154
165,33,591,0.294118
166,33,1624,0.176471
167,591,1624,0.529412
168,33,1339,0.090909
169,33,1455,0.272727
170,1339,1455,0.636364
171,34,1217,0.411765
172,34,1374,0.235294
173,1217,1374,0.352941
174,35,556,0.142857
175,35,1650,0.357143
176,556,1650,0.500000
177,35,1701,0.588235
178,35,1780,0.117647
179,1701,1780,0.294118
180,36,1231,0.571429
181,36,1667,0.071429
182,1231,1667,0.357143
183,37,156,0.071429
184,37,387,0.785714
185,156,387,0.142857
186,38,905,0.285714
187,38,1674,0.428571
188,905,1674,0.285714
189,39,352,0.583333
190,39,997,0.083333
191,352,997,0.333333
192,39,799,0.263158
193,39,1758,0.052632
194,799,1758,0.684211
195,40,206,0.882353
196,40,939,0.000000
197,206,939,0.117647
198,40,1611,0.000000
199,40,1763,0.055556
200,1611,1763,0.944444
201,42,514,0.916667
202,42,927,0.000000
203,514,927,0.083333
204,43,287,0.076923
205,43,450,0.076923
206,287,450,0.846154
207,43,803,0.705882
208,43,1240,0.058824
209,803,1240,0.235294
210,45,397,0.000000
211,45,1525,0.928571
212,397,1525,0.071429
213,46,510,0.000000
214,46,1445,0.000000
215,510,1445,1.000000
216,46,549,0.437500
217,46,1303,0.250000
218,549,1303,0.312500
219,46,1031,0.846154
220,46,1551,0.000000
221,1031,1551,0.153846
222,47,828,0.411765
223,47,973,0.117647
224,828,973,0.470588
225,48,153,0.882353
226,48,522,0.117647
227,153,522,0.000000
228,48,1031,0.105263
229,48,1633,0.421053
230,1031,1633,0.473684
231,50,86,0.866667
232,50,601,0.066667
233,86,601,0.066667
234,50,512,0.666667
235,50,849,0.222222
236,512,849,0.111111
237,51,79,0.176471
238,51,300,0.058824
239,79,300,0.764706
240,51,162,0.076923
241,51,866,0.153846
242,162,866,0.769231
243,51,242,0.611111
244,51,1281,0.333333
245,242,1281,0.055556
246,51,845,0.476190
247,51,999,0.047619
248,845,999,0.476190
249,52,206,0.117647
250,52,1494,0.882353
251,206,1494,0.000000
252,52,264,0.117647
253,52,1828,0.235294
254,264,1828,0.647059
255,52,314,0.000000
256,52,391,0.882353
257,314,391,0.117647
258,52,439,0.000000
259,52,640,0.294118
260,439,640,0.705882
261,53,778,0.000000
262,53,1144,0.133333
263,778,1144,0.866667
264,53,838,0.785714
265,53,897,0.142857
266,838,897,0.071429
267,53,877,0.562500
268,53,1096,0.375000
269,877,1096,0.062500
270,55,71,0.000000
271,55,571,0.454545
272,71,571,0.545455
273,55,983,0.000000
274,55,1177,0.000000
275,983,1177,1.000000
276,56,157,0.588235
277,56,477,0.117647
278,157,477,0.294118
279,57,253,0.125000
280,57,712,0.812500
281,253,712,0.062500
282,59,634,0.214286
283,59,1477,0.500000
284,634,1477,0.285714
285,59,1248,0.666667
286,59,1628,0.266667
287,1248,1628,0.066667
288,60,268,0.428571
289,60,426,0.214286
290,268,426,0.357143
291,60,397,0.187500
292,60,1806,0.437500
293,397,1806,0.375000
294,60,624,0.000000
295,60,1179,0.777778
296,624,1179,0.222222
297,61,342,0.214286
298,61,1623,0.285714
299,342,1623,0.500000
300,61,505,0.363636
301,61,635,0.454545
302,505,635,0.181818
303,63,379,0.850000
304,63,1172,0.150000
305,379,1172,0.000000
306,63,505,1.000000
307,63,878,0.000000
308,505,878,0.000000
309,64,151,0.333333
310,64,872,0.133333
311,151,872,0.533333
312,64,1573,0.083333
313,64,1686,0.333333
314,1573,1686,0.583333
315,65,198,0.428571
316,65,1481,0.428571
317,198,1481,0.142857
318,65,830,0.066667
319,65,998,0.000000
320,830,998,0.933333
321,65,1301,0.000000
322,65,1754,0.928571
323,1301,1754,0.071429
324,66,1431,0.823529
325,66,1806,0.176471
326,1431,1806,0.000000
327,67,901,0.230769
328,67,1691,0.461538
329,901,1691,0.307692
330,68,108,0.714286
331,68,128,0.285714
332,108,128,0.000000
333,68,848,0.687500
334,68,1180,0.000000
335,848,1180,0.312500
336,68,874,0.625000
337,68,968,0.312500
