i,j,k,total_count,odd_i_count,odd_j_count,odd_k_count,odd_i_pct,odd_j_pct,odd_k_pct,shannon_entropy,agreement_score
0,192,1088,17,3,0,14,17.647058823529413,0.0,82.35294117647058,0.4659992569610426,0.5758291967350997
1,1661,1753,17,3,4,10,17.647058823529413,23.52941176470588,58.82352941176471,0.9586918593253719,0.1273610633942287
2,1207,1541,17,1,0,16,5.88235294117647,0.0,94.11764705882352,0.22371807606583377,0.7963630314593915
3,231,1158,17,0,14,3,0.0,82.35294117647058,17.647058823529413,0.4659992569610426,0.5758291967350997
3,313,1685,17,5,0,12,29.411764705882355,0.0,70.58823529411765,0.605797499372304,0.44857935267888205
3,605,1184,13,12,0,1,92.3076923076923,0.0,7.6923076923076925,0.2711893730418441,0.7531527948129749
6,223,1427,14,0,4,10,0.0,28.57142857142857,71.42857142857143,0.5982695885852573,0.45543155237179933
6,224,528,18,3,9,6,16.666666666666664,50.0,33.33333333333333,1.0114042647073518,0.07938016428569505
6,741,1233,16,0,2,14,0.0,12.5,87.5,0.37677016125643675,0.6570490198018722
6,1358,1762,13,1,6,6,7.6923076923076925,46.15384615384615,46.15384615384615,0.9110175397125628,0.17075609920855273
7,893,1540,9,3,1,5,33.33333333333333,11.11111111111111,55.55555555555556,0.936888307539016,0.1472075115099596
7,1111,1768,9,6,2,1,66.66666666666666,22.22222222222222,11.11111111111111,0.8486855577264172,0.22749311428573993
8,414,1675,14,4,1,9,28.57142857142857,7.142857142857142,64.28571428571429,0.8304717124362917,0.2440720707365246
8,906,1574,16,3,13,0,18.75,81.25,0.0,0.48257756517701206,0.5607389702858143
8,967,1763,17,4,12,1,23.52941176470588,70.58823529411765,5.88235294117647,0.7529746827658885,0.31461290708958944
9,183,1793,16,10,0,6,62.5,0.0,37.5,0.6615632381579821,0.39781918973433217
11,50,1500,16,10,3,3,62.5,18.75,18.75,0.9214934308679616,0.16122053214503562
11,370,554,17,0,2,15,0.0,11.76470588235294,88.23529411764706,0.362210557135449,0.6703017425969531
11,588,991,15,0,14,1,0.0,93.33333333333333,6.666666666666667,0.24493002679463532,0.7770550818327606
11,817,1007,18,3,15,0,16.666666666666664,83.33333333333334,0.0,0.45056120886630463,0.589881513693482
12,1402,1723,15,11,1,3,73.33333333333333,6.666666666666667,20.0,0.7298712099831165,0.3356425942877741
13,76,1042,18,0,13,5,0.0,72.22222222222221,27.77777777777778,0.5908422462755826,0.4621922106916504
13,990,1502,10,1,1,8,10.0,10.0,80.0,0.639031859650177,0.41832813428211324
14,323,500,19,2,4,13,10.526315789473683,21.052631578947366,68.42105263157895,0.8246593237664704,0.24936273490419725
15,295,732,16,5,10,1,31.25,62.5,6.25,0.8305236914828463,0.2440247573693879
15,380,1167,18,9,7,2,50.0,38.88888888888889,11.11111111111111,0.9580002800887726,0.12799056594370206
15,408,1484,16,3,7,6,18.75,43.75,37.5,1.0433534269422904,0.05029878356158923
16,430,431,16,5,6,5,31.25,37.5,31.25,1.094780226007948,0.003488093752171295
16,1286,1364,16,0,5,11,0.0,31.25,68.75,0.6210863745552451,0.4346628187563675
18,989,1692,16,2,3,11,12.5,18.75,68.75,0.8314025204956377,0.24322481272844754
20,664,1705,20,9,10,1,45.0,50.0,5.0,0.8556886672556694,0.2211186092838504
22,174,1192,18,4,2,12,22.22222222222222,11.11111111111111,66.66666666666666,0.8486855577264172,0.22749311428573993
23,664,1633,19,5,8,6,26.31578947368421,42.10526315789473,31.57894736842105,1.0795295733255186,0.01736983605538034
24,128,1439,13,0,0,13,0.0,0.0,100.0,0.0,1.0
25,909,1091,18,0,15,3,0.0,83.33333333333334,16.666666666666664,0.45056120886630463,0.589881513693482
