30774 12821 3147;30774 3147
16109 26266 26267 28460;28460 16109
10590 2862 5051;2862
7168 5121;5121
1380 28325 26267 26264 23644;28325 26264
1214 662 1313;662
2867 3341 4754 1232 656;656 2867 3341
40664 36424 36423 36421 36428 40656 28348 4836 30754 249 3465 182 705;36424 40664 36428 36421 36423 40656 4836 30754 249
9673 59 122 7608 13340 13262 10626 501 3229 12407 7070;122 13340 13262 10626
44589 44592 44617 44616 44141 44591 44621 44586 37878 44618 44631 40665 44620 45254 26266 815;44616 44586 37878 44141 45254 44620 26266
23265 40759 41488;23265
2593 45778;2593
47060 47472 47485 2022 46319;47060
44663 46299 1078;44663
46951 46950;46951
32210 33030 33043 33034;32210 33030
2612 1288 47475 47490 47478 47497 47477 47489 28328;47475 47497 47489 47478
45811 45778 363;45811 363
2529 45864;45864
6457 3191 7441 7442 7443 5347 7444 455 7445 7446 7447 7448 5282 7449 7450 7451 7452 7453 3035 1369 371 3033 4038 7454 3037 44;4038 3035
3783 5154 2530 228 2140 6209 216 8915 2503 379 31 1414;2530 228 216 1414 8915
43152 42506 43161 3374 43147 42558 42460 169 7502 14316;14316
30746 28616 28447 30745;30746
8388 23644 26264 26265 2995 556 136 307 1312 134 8389 9178 5815 4853 695;23644 26265 8388 134 8389
38277 6085 1230;6085 1230
42465 42849 5553 23120 42444 42456 42440;42465 42849 42444 42456
2205 51085;2205
46899 46920 46958 46315 47482;46899 46958 46920
7306 44112;7306
7753 8637 41847 50359 49213 2119 421 204 205 462 4252;49213 2119 7753
804 16109 179 23301 26 781 10782 26266;16109
36471 9156 7559 11215;7559
2425 6952 6953 1249;2425
44089 45802 45807 45796 45827 43191 6421;45807 45827 45802
48291 51214;51214
8454 7753 47738;7753
33030 31043 31435 33400;31043 33400 31435
41451 41455 41459 32210;41451 41459 32210
46354 28328;46354
45221 36036 7137 37883 42478 45255 41442 2218 20582 45764 23274 3927;45221 36036 41442 45255 20582 3927
17377 8451;17377
246 45225 917 44595 44621 44636 44129;45225 917
23104 2490 828 23152 173 23068 307 488 23078 1642 10199 23142 3615;23142 23068 10199 2490 23104 23152
49096 49098 49083 49097 49086 49103 49081;49096 49098 49086 49083
1347 47 502 175 173 23188;47 173
47497 47477 47475 47486;47497
116 634 549 204 205;205 116 204
1047 226;226
50297 50300 46307 49128 48265 50303;50300 50297 50303
30764 8484 30752 319;30764
28346 30749 1587 2024 2817 110 2818;28346 2024
5091 2521;5091
6073 2024 8766 9696 19927 36473 36592 36590;6073 8766 2024 9696 36473 36590
44587 44599 44595 44606 44580 44629 44611;44587 44599 44580 44606 44629
47060 47472 47473 47506 47061 37915;47060 47473 47472 37915 47506
28360 29 181 31307 34829;28360
1958 1628 36473;1958
176 489 488;488 176
46300 46320 45289 46243 46297 46316 46298;46300 45289 46297
1174 146 42592;146
33 786 318;786
9209 2758;2758
2361 6920 115 8777;8777
6305 938 3078 24800 2874 3803 3742 2235 439 30791;938 2874
47494 43192 7017 43183;43192 47494 43183
549 205;205
28324 47 23164;23164 28324
33029 39256 41444 43156 45784 45758 40671 45817 45786 45774 681 45787 36417 45761 43717 44628 43204 46315 46344 46352;45784
45300 203 421 1183 238;203 421
14443 10783 7827 1825 6032;14443 10783 6032
44116 44094 44075 44121 36719 44611 42444 44641;42444 44094 36719 44641 44075
30931 33029 32210 33059;30931 32210 33059
49083 49098 30970 49097;49097 49083
3032 94 773 39293 39287 4759 8667 5073 5729 15740 3835 39279;94 773 39293 39287
2615 43148 2786 2927 45221 37871 28325 46943 42448;43148
6840 43219 2798 43192 2103 42443 36489;6840 43219 42443 43192
9331 10166 7052;9331
33048 4323 731 940;33048
38407 14060 44623 25484 10960 7789 43235 15236 2372 13062;38407 44623 7789
158 157 694 384 177 151 172 743 136 23068 23069 534 7134 1250 1251 1159 5345 148 1077 1416 505 6683;158 694 384 136
37877 37888 37897 37904 37890 37903;37888 37877 37904
36420 1486 244 1530 10503;36420 10503 244
10475 9398 2772 2196 3523 6332 22958 4887 605;605
30756 680 639 561 7110 2687 3009 3834 1151 634 37898 45492 116 45286;561 116
41489 39939 40759;40759 41489
41476 41448 246;41476 41448
44580 45225 917 44582;45225 917
50328 47057 47485 50292 5852 5608;50328 47485 5608 50292
675 674 6231;675
2356 32667;32667
28340 28389 28339 28348 26267 26265 28325 23644;26267 26265 28389 28348 28325 23644
6297 2926 298;298
1389 46303 44096 6885;46303 44096 6885
23164 98 783 3645 28359 28363 23332;23164
611 37879 37900;37900 37879
41466 41449 42450;41466 41449
14950 13744 22569 3120;13744
245 2937;245
47506 47058 47505 47473;47506 47058 47473
30752 30764;30764
23164 28324;28324
49130 51071 49305;51071
28325 26265 28340 23072;28325 26265 28340
37904 2755 37905 5262 5733 37890 30195 3008;37904 3008
43151 43154 42850 40658 40655 43162;43151 43154
367 3629 3208 1134 2740 2739 3747 930 846 40671 39241;39241 367 40671 2740
36459 36140 34907 36448 36451 36440 32210 30931;36140 36448 36451 30931
46300 46297 42448 37898 45289 46341 5656 46302 44133 45994 41442 30760 46901 36466 23356 8683 11177 9320 41566 41836;46300 44133 36466 9320 23356 11177 41836
29 2224 1382 17323;29
908 463 2536 465 464;908
130 158 157 1380;130 158
389 51124;51124
3531 3813 941 37951 3532;3532
246 3120 944;246
47058 47506 47473 50300;47506 47058
3035 3033 1369 1368;1369 1368
45994 46295 46917 42846 44095 44127;44095 46295 45994
45767 1368 43181 22867;45767 1368
332 1147 23724;1147 332
28487 7294 7641 931 28339;931
6353 48538 48275 45767 716 44624 3038 39287 44632 41477;716 6353 41477
34815 30754 520 33028 218 307 34812;307
117 116 44123 46905;116 44123
1250 36719 36036 44580;44580 36719
932 3295 44140 47497;3295
42443 249;249
23104 23075 23152 192;23104 23075 23152
50292 50315 50306 50307 50303 50323 383 46341 50318 49308;50292 50303 50315 50306 50307
49095 49096 49099 49097 49117 49106 48266 32210 42464;49099 49096
146 147;146
3540 5631 3569;5631
51069 19676 21745 51090 50334 51102 51097;21745 51090 51097
30746 30745 30758;30758 30746
9034 2922;9034
46322 40664 44697 46300 10829 46331 46347 46342 44133 45289 46341 46243 804 46921 46924 46914 46903 20336 46893 42443 3229 46895 46896 46901 46931;40664 44697 3229 46895
877 28325 26264 26266 6004 2938;26266 2938 26264
30761 36431 28355 36436;36431 28355 36436
1362 2253;2253
34848 28321;34848
40665 40659 40661 40655 40672 40671;40659 40655
45238 44808 44663;44663 45238
6138 48291;48291
95 90 1790 202 164 3949 2381 5732 12407 12404 2382 4625 3832 2754 101;95 90
42448 42473 42465 42439 42450 42449 42477 42455 42847 42849 34818 43175 43148;42448 42465 42450 42439 42455 42449 42849 34818 42477 42847 43148
42439 42449 42464 42455;42439 42464 42455
14573 17821 3756;14573
44076 44122 44106 44126 43718 43717 44075;44076 44122 43717 44106
47514 47513 23091 47483 1698 7186 36953 41522 5240 8153 8155 982 43240;47514
34897 30776 36445;36445
31151 48266 45768 43162 43154 30931 48280 48297 44641 48262 48263 41460;48266
46332 45828 37892 752 31933 42844 1260;37892 45828
44586 305 44606 43188;44606 43188
40655 40669 40680 30761 33369;40669 40655 40680
2463 6700 49099 49096 49171 49117 49095;49099
43192 48264 37933 11 6013 9412 8748 32415 47516 3410 3227 31559 30751;32415 47516 43192
13266 41459 47744;13266
4447 28324;28324
46300 46295 2963 7144;7144
3530 50117 9718 11877 8033 4662;4662
480 49148 10289;49148 480
49105 49099 49095 49122;49105 49099 49122
26267 26266 23120 3465 381 28326;26266 23120 26267
47 5999 28396 23594;28396 23594
22028 44638;44638
6051 42454 2887 962 961 3700 963 2489 2116 7288 50298 50336;6051 50336
3271 857 37884 37929 6276 2361 289;857 37884 37929
14089 17323 39271 6727 39307 39260 21357 1584 39269 39264 30754 3773 39249 39285 40655 1369;39271 39307 1584 40655 30754 39264
41571 48283;48283
11129 12383 9651;12383
30756 561 639 1833 48287 47521;48287
1217 1939 23067 46949 23073 4850 5112 44132 46904 537;23073 5112
4467 39299;4467
47059 47061 47058 47506;47061 47059 47058
51709 51729 51700 51208 51741 51806 51754 42473 50335 51102 49104;51700 51208 51741 51729 50335 51806
40664 40656 2184 40655 40669 28858 612 3022 34815 41442 36433 33032 41461 30736 40661 39264 1380;40664 40656 40669 2184 41461 34815 30736
20082 18144 3419 20181;20082
253 433 976 705 27 25 181 29;976 253 29 705 433
2689 1309 6684 23120 2055;23120 1309 2689
44589 31043 1704 33030 45759 41480 41447 41446 44588 1125 48296 41484;44589 45759 41484
26266 29017 40655 40661 30754 36431 40659 39269 40680;40661 29017 40680 40655 40659
6706 23345;23345
4653 28360 28373 5184 26267 26266 23644 26265 28339 731 28389 28340 28426 28366;28360 26267 23644 26266 28366 731 28426
44610 45274 45244 45228 45233;44610 45233 45274
1109 4882 28470 731;4882 28470 731
8456 9262 2626 9320 4611 11529 6178 31972 3476 241 326 1156 113 588;8456 3476 588
244 2540 6734;6734
631 23164;23164
40677 37912 36442 25520 1153 28321 43198 41487 2863 43165 39379 1012 6121 3690 6733 43170 7731 42653 2582 12073 28422 18446 36443 4888 343 6381 2939 1777 23739 23342 342 8058 7491 39028 6574;28321 6381 36442 8058 6574
51095 51120;51095
1430 13996 7502 42545 670 8363 33203 17917;42545 1430 670 13996
98 28362 28363 28329;98
36441 36418 36445 12989 26252 24136;36441 36418 12989 24136 26252
23458 7372;23458
47472 47471;47472
46296 1013 23602 1223 2477 3522 45230 45216 5757 9525 42030 28565 1640 45786 10028 41459 45224 3341 3919 4205 13462 46306 19444;13462 23602 46306
905 5477 6646 6647 34827 41456;34827
5692 998 18764 5691 5689 5690;5692 998 18764
1075 33034 9930 1074 17 1077;33034 1077
6444 3665 3957 3105 2993 3964 23918 23931;3665
46951 46950 46927 21830 46964 17985 4170 45219 9401;46950 46964 45219 46927
50321 50309 47060 50335 7811;7811
226 181;226
41454 730 37910 92;37910
33048 37906 30782;33048
34815 1069 34819 31043 33043 32210 33029 249 487 2207;34815 32210 34819
205 2034 112 117 23780 4933 5750 45791 8547 47943 47832 17873 23781 6377 50330 23622 46939 50336 48280 45765 43154 5118 51099;205 51099 4933 45765
37912 1153;37912
98 45221 47010;98
49084 41638 14352;49084
91 10 473 28324 28329 2511 6315 16856 12780 4729;28324 28329
14667 41451;41451
11743 8270 8958 12844 9180;9180
5420 16521;5420
1661 796 164;796
18521 9007;9007
39274 3766 39252 39314 39288 3019 332 1047;39252 39288 39274 39314 332 3019
1986 1988 1987 2236 4074 1983 3335 192 3117;2236 192
4695 891;891
4276 7493;7493
47539 46975 48312 49155 49113;46975
1583 5887;5887
45238 45234 44646 44645 44808;45234
133 638 1488 1110 1947;1947
425 3976 3973 50508 34883 655 46959 6082 1711 5845;425 1711
18962 432 7298;432 7298
46897 46899 46917 44599 3120 46916 46925 46919 6338 1995 138 42473 23068 170 171 5553 611 249 46902 42844 39241 34815 22231 137 1225 45241 14754;46925 46899 3120 46897 45241
116 10 903;116
3120 46925 46916 46894 47475 47476 47497 44078;3120 46925 46916
43191 42460 9067 43201 43207 2865 3469 41872 1359 4573 42454 249;2865 43191 3469
2269 42529 43151 33034 207;2269 42529 43151
6896 13409 49095;13409
1797 4976;1797
41467 44135 40655;41467
3033 3035 12077 39302;12077 39302
2657 6818 2658 2518 5285 3636 3637;2658
33029 33030 30931 33049;33029 30931
722 143 721 937 117 116 237 30 8707 203 421 10;721
41492 42060;41492
23431 30737 43 30738 327 33054;30737 23431
3745 10179 2358 44090 2926;44090
45273 45258 43160 40704 45285 45247 5444;40704 45273
7645 47498;7645
20537 50305 49128 49112 49093 49123 12573;50305 49128
51 92 680;680
3601 41808 5824;41808
47500 27255 47491 47495 47501;27255 47491 47500
4118 2197 5093;4118
33032 173 30971;33032 173
46907 46906 1495 44271 46968;1495
23265 23148 363 28447;23265 23148
32210 33030 30931 33034;32210 30931
46930 15784 46953 46896 3224 46342 46901 47043 47475 5511;46953 47475
549 9602 23491 33026 34817 37875 652 1026 1637 992 911 25805 9881 23096 483 3147 1048 1511 23086 932 4570 28487 3227 3410;549 1511
47058 47506 47473 18068 8075 2092 44287;47058 47506 47473
5738 45303 14552 15192;45303
14880 879 639;879
2275 32210 33029 33030 33043 32208;33030 32210 33043
404 12508 7614 1820 1704 1821 977;404
50325 4122 6051 1001 46307 723 7553 9853 49083 49106 50440 32188 49124 51109 49186 51111 484 249 42448 2918 44132;50325 4122 1001 6051 9853 249 51109 51111 32188 49083
869 31972 39287 716;869 716
30756 7358;30756
46894 5082 3120 129 5243 44591 44595;5082 46894 3120
23104 23265 23075;23265 23075
6700 6403 8350 4905 14241 34836 9566 6404;6404
46329 46315 45774;46329 45774
41550 51754 46937;41550
50316 50317;50316
1180 937;937
41473 17873 7655 41449 4467 14023 7530;41473 17873 41449 14023
202 4390 24926 1790;202 4390
753 326 23430 882;753 23430
43156 43151 1759 42439 42450 42449;43156 43151 42439
33705 1050;33705
10204 18357 12086 12948 44266 44174;12086
4052 1258 16407 39266;4052
47058 47060 47506 47472 46928 47473 41467 47484;47060 47484 47506
32 18222;32
743 1039 4529;4529
1584 1586 72;72
4615 24823;24823
28346 6297 42607 11563 13582 2968 8635;42607
2649 1744;1744
1313 662 734 332 10522;1313
31933 13332 37878 26265 42447 45223 8700 6225 3313 39339 44366 16600 15007 6514 5973 45221 45220 45255 45222 36036 37883 778 746 6438 7111 45256 44705 45215 44619 44580 1530 731 20582 37881;44619 44580 36036
47471 47060 3193 12329 47472;12329 47060
45770 45764 98;45770
44126 44106 43718 2714 37900 37879 39255 23115;37879 44106 44126 39255
39293 39273 40660 4595;39293 4595
6314 4787 203 204 634 9740 1182;204 634
42850 42844 42473 40667 2213 488 3412 30971 133 504 44095 611 249 44084 42456 44073 3429 5161 720 42574 34821 4676 521 43187 44106 1491 1492 10503;44084 43187 42844 42473 42850
504 23078 467 28341 23135 1288 1954 841 25 29 3803 248 2786;467 23135 504 1954 23078 841 29
50325 47489 45402 3466 48258 46899;50325 3466
10518 14097;14097
14174 11073 29491 36854 26152 27;36854
8364 1596 4770 24136 26252 15548 14882 43367 38472;1596 26252 15548 14882 43367 38472
44599 44595 44636 44615 5243 77 44116;44595 44599 44636 44615
561 639 30756 8912 2158 10624 2156;8912 561
21379 30866;30866
51235 51208 51700 51701 973 51074 51114;51235 973 51701 51700 51208
730 2286 37910;730
271 44164 273;44164
6339 171 23078 487 5552 173 376 23433 2381 912 249 488 4896 2678 2821 9573 8755 2433;376 487 171 249 23078 5552
325 469 28328;28328
171 46920 42441 1252 26265 23644 36719 44606 42478 46899 44598 28389 46903 46909 1704;46920 1252
51076 51121 51119;51076 51119
37878 36719 37883 1877;37883 37878
28858 37875 37889;28858 37889
30750 8654 335;335
15381 34930 47498;15381 34930
804 46941 16109;16109
524 404 90 95;404 524 90
50304 50294 40682 50302;50304 50294 50302
15377 467 37876;15377 37876
6548 1653;6548
45858 45768;45858
44645 44646 31933 45222 45306 44663;31933 45306 44663
47539 46975;46975
23088 15752;15752
680 7110;7110
42336 5774;42336
37916 8597 37915 46935;37916 37915
2963 7144;7144
44085 44076 44121 44091 44118;44076 44085 44118
546 47500 51773;546
28334 28329 51 9 23332 23164 1347 47 28363 46 28396 23594 2648;23164 2648
369 37905;369
32210 33029 33043 1416 30970 34819;33029 33043 32210
12684 28575 23133;28575
39256 39279 39297 39288 39242 39285 40665;39279 39285 39256 40665
510 46295 45994 46932;45994 46932 46295
33029 31043 30931 33034 32210;30931 33034 32210
32210 30931 33034 30744 12296;32210 30931 12296 33034
1980 49138;49138
1839 719;719
288 1469 11066 5468;288 1469 5468
992 10096 136;10096 992
34819 34818 34814 39278;34819 34818 39278
51070 51075 51076 696 451 15006 50403 51092 23602 51722 51710 46332 47487 50297;51070 51075 23602 51722
40660 40661 23068 28858 40672 28333;40660 40672 40661 28333
44135 44581 44614 37876 489 37905 488 175 40660 173 170 174 41461 1068 41535 42848;44581 44614 37905 488
37871 639 94 30756 39252 13018 561;561
44624 44616 44617 33029;44624 44616 33029
2235 28335;2235
39286 39276 39424 17934 1836 4111 20639 6632 15621 21298 13452 17906 15184 13257 1600 30905 30991 15548 4336 13995 33263 7072 797 667 668 39536 400 401 19952 9056 8165 14912 12990 14913 11797;15621 17934 21298 15184 667 4111 797 20639 9056 4336 1836 7072
26266 26267 23644 1229;26266 23644
46958 1252 46920 46899 46937 33041 48274 47493 43162 1072 43153 33043 11093 6878;46958 1252 46899 33041 46920
40673 5891;5891
5635 46356;46356
40655 37891 36422 30744 36445 1435 724 5408 14023 4457 36434 40171;37891
5977 590 549;5977
44112 7306 43183 43207 42529 43201;44112 7306
43179 43196 28470;28470
44645 45238 44808 45218 44663 45259 44705 45253 45255 26267 5778;45253 45238 45218 44663
1615 9670 8225 45255 41583 4653 16531 41451 45224 2425 44915;9670 16531 41451 45224 44915
42456 45760 12994;45760
