edge_id,node_a,node_b,similarity
0,1,2,0.370370
1,1,3,0.300000
2,2,3,0.550217
3,1,4,1.000000
4,2,4,0.000000
5,3,4,0.400000
6,5,6,0.000000
7,5,7,0.000000
8,6,7,1.000000
9,10,11,0.125000
10,10,12,0.548387
11,11,12,0.500000
12,10,13,1.000000
13,12,13,0.431043
14,10,14,1.000000
15,12,14,0.222222
16,11,13,1.000000
17,11,14,0.214286
18,13,14,0.315068
19,15,16,0.000000
20,15,17,0.486486
21,16,17,0.166667
22,20,21,0.536585
23,20,22,0.476438
24,21,22,0.392975
25,20,23,0.536596
26,21,23,0.450806
27,22,23,0.332965
28,9,24,0.000000
29,9,25,0.659218
30,24,25,0.500000
31,26,27,0.490683
32,26,29,0.204819
33,27,29,0.437995
34,26,28,0.500000
35,28,29,0.214932
36,27,28,0.312500
37,32,33,0.270833
38,32,34,0.160000
39,33,34,0.352431
40,32,35,0.153846
41,33,35,0.407932
42,32,36,1.000000
43,33,36,0.000000
44,34,35,0.625222
45,34,36,0.111111
46,35,36,0.000000
47,39,40,0.666667
48,39,43,0.000000
49,40,43,0.583333
50,39,44,0.269231
51,40,44,0.315789
52,39,45,0.444444
53,40,45,0.583333
54,39,41,1.000000
55,41,43,0.000000
56,41,44,0.000000
57,41,45,0.000000
58,39,42,0.785714
59,42,43,0.485714
60,42,44,0.408163
61,42,45,0.658537
62,43,44,0.750000
63,43,45,0.800000
64,44,45,0.880000
65,40,41,0.875000
66,40,42,1.000000
67,41,42,0.500000
68,46,47,0.238318
69,46,48,0.200000
70,47,48,0.375000
71,20,49,0.144578
72,20,50,0.294872
73,49,50,0.200873
74,20,51,0.460674
75,50,51,0.249622
76,49,51,0.443077
77,54,55,0.000000
78,54,56,1.000000
79,55,56,0.000000
80,54,57,0.142857
81,55,57,0.045685
82,54,58,1.000000
83,55,58,0.088235
84,54,59,1.000000
85,55,59,0.671429
86,54,60,0.000000
87,55,60,0.733577
88,56,60,0.000000
89,57,60,0.127778
90,58,60,0.131313
91,59,60,0.563218
92,56,57,1.000000
93,56,58,1.000000
94,56,59,1.000000
95,57,58,0.647249
96,57,59,0.149533
97,58,59,0.090909
98,61,62,0.267123
99,61,63,0.283784
100,62,63,0.344086
101,61,64,0.284483
102,62,64,0.454545
103,61,65,0.461538
104,62,65,0.337724
105,61,66,0.219298
106,62,66,0.435859
107,61,67,0.292818
108,62,67,0.407407
109,63,64,0.520833
110,63,65,0.526316
111,63,66,0.450000
112,63,67,0.574661
113,64,65,0.388149
114,64,66,0.413290
115,64,67,0.300000
116,65,66,0.373709
117,66,67,0.283784
118,65,67,0.340426
119,68,69,0.221762
120,68,71,0.660650
121,69,71,0.193267
122,68,70,0.169725
123,70,71,0.217391
124,69,70,0.624339
125,72,73,0.340637
126,72,75,0.383838
127,73,75,0.271318
128,72,76,0.247934
129,73,76,0.265432
130,72,74,0.272727
131,74,75,0.266234
132,74,76,0.341270
133,75,76,0.277108
134,73,74,0.196347
135,79,80,1.000000
136,79,82,0.162832
137,80,82,0.000000
138,79,83,0.124272
139,80,83,0.000000
140,79,84,0.154195
141,80,84,0.000000
142,79,81,0.460000
143,81,82,0.241270
144,81,83,0.212121
145,81,84,0.235772
146,82,83,0.714104
147,82,84,0.631802
148,83,84,0.681948
149,80,81,1.000000
150,57,87,0.475000
151,57,88,0.142857
152,87,88,0.416667
153,57,89,0.539347
154,87,89,0.391304
155,57,90,0.214286
156,87,90,0.586608
157,57,91,0.486486
158,87,91,0.164634
159,57,92,0.060606
160,87,92,0.509728
161,88,89,0.219512
162,88,90,0.200000
163,88,91,0.274194
164,88,92,0.625000
165,89,90,0.157895
166,89,91,0.464286
167,89,92,0.333333
168,90,91,0.234694
169,90,92,0.530055
170,91,92,0.240000
171,12,94,0.386495
172,13,94,0.408121
173,12,93,0.333333
174,93,94,0.000000
175,12,95,0.409150
176,94,95,0.406621
177,12,96,0.407028
178,94,96,0.417846
179,13,93,1.000000
180,13,95,0.365854
181,13,96,0.343351
182,93,95,1.000000
183,93,96,1.000000
184,95,96,0.340271
185,97,98,0.690789
186,97,99,0.000000
187,98,99,0.400000
188,97,100,0.163636
189,99,100,0.000000
190,97,101,1.000000
191,99,101,0.000000
192,98,100,0.181818
193,98,101,1.000000
194,100,101,1.000000
195,102,103,0.705263
196,102,104,1.000000
197,103,104,0.000000
198,105,106,0.482759
199,105,107,0.553846
200,106,107,0.474419
201,108,109,0.578704
202,108,110,0.218868
203,109,110,0.154762
204,108,111,0.356436
205,109,111,0.392157
206,108,112,0.225641
207,109,112,0.101545
208,108,113,0.294118
209,109,113,0.421053
210,108,114,0.231707
211,109,114,0.363636
212,110,111,0.393939
213,110,113,0.256944
214,110,114,0.439306
215,111,112,0.186207
216,111,113,0.287671
217,111,114,0.396552
218,112,113,0.289474
219,112,114,0.426966
220,113,114,0.916667
221,110,112,0.563898
222,115,116,0.461538
223,115,117,0.425926
224,116,117,0.416667
225,120,121,0.233333
226,120,122,0.631579
227,121,122,0.425926
228,120,123,0.083333
229,121,123,0.480769
230,122,123,0.467890
231,124,125,0.202652
232,124,126,0.111334
233,125,126,0.426322
234,127,128,0.181818
235,127,129,0.423012
236,128,129,0.137931
237,127,130,0.429975
238,128,130,0.250000
239,127,131,0.384058
240,128,131,0.240000
241,129,130,0.344978
242,129,131,0.316092
243,130,131,0.352381
244,91,132,0.164179
245,91,133,0.200000
246,132,133,0.403846
247,91,134,0.096774
248,132,134,0.666667
249,91,135,0.277778
250,132,135,1.000000
251,91,136,0.619048
252,132,136,0.250000
253,91,137,0.275862
254,132,137,0.294118
255,91,138,0.392157
256,132,138,0.666667
257,133,134,0.123711
258,133,135,1.000000
259,133,136,0.277778
260,133,137,0.394737
261,133,138,0.479339
262,134,135,0.722222
263,134,136,0.385542
264,134,137,0.384956
265,134,138,0.096774
266,135,136,0.477477
267,135,137,0.212121
268,135,138,1.000000
269,136,138,0.133333
270,137,138,0.267606
271,136,137,0.560345
272,20,139,0.545935
273,20,140,0.158962
274,139,140,0.343858
275,20,141,0.397260
276,140,141,0.347826
277,139,141,0.322581
278,62,142,0.000000
279,65,142,0.000000
280,66,142,1.000000
281,143,144,0.470383
282,143,145,0.578534
283,144,145,0.429577
284,143,146,0.526316
285,144,146,0.462633
286,143,147,0.347639
287,144,147,0.533742
288,145,146,0.635983
289,145,147,0.406716
290,143,148,0.430000
291,145,148,0.377907
292,146,147,0.404040
293,146,148,0.366197
294,147,148,0.320652
295,144,148,0.375635
296,54,149,0.875000
297,54,150,0.593407
298,149,150,0.366667
299,55,87,0.333333
300,60,87,0.222222
301,55,151,0.146341
302,60,151,0.214286
303,87,151,0.267409
304,152,153,0.166667
305,152,154,0.111111
306,153,154,0.208333
307,155,156,0.000000
308,155,157,0.493333
309,156,157,1.000000
310,155,158,0.000000
311,156,158,1.000000
312,157,158,1.000000
313,125,159,0.238501
314,125,160,0.287671
315,159,160,0.417143
316,125,161,0.272727
317,159,161,1.000000
318,125,162,0.161638
319,159,162,0.516854
320,125,163,0.196629
321,159,163,0.287356
322,125,164,0.285322
323,159,164,0.352459
324,160,161,1.000000
325,160,162,0.755102
326,160,163,0.350000
327,160,164,0.373134
328,161,162,1.000000
329,161,163,0.857143
330,161,164,1.000000
331,162,163,0.369565
332,162,164,0.324211
333,163,164,0.283784
334,165,166,0.571429
335,165,167,0.233333
336,166,167,0.457143
337,168,169,1.000000
338,168,170,0.000000
339,169,170,0.000000
340,95,174,0.241256
341,96,174,0.290895
342,95,173,0.543527
343,173,174,0.232222
344,96,173,0.381686
345,177,178,0.083333
346,177,179,0.000000
347,178,179,0.256140
348,180,181,0.415094
349,180,182,0.376812
350,181,182,0.343750
351,180,183,0.000000
352,181,183,0.424731
353,182,183,0.373541
354,145,184,0.349282
355,148,184,0.326633
356,145,185,0.000000
357,148,185,0.600000
358,145,186,0.211268
359,148,186,0.240000
360,145,187,0.437500
361,148,187,0.295775
362,145,188,0.334862
363,148,188,0.372781
364,145,189,0.875000
365,148,189,0.454545
366,184,185,0.000000
367,185,186,0.000000
368,185,187,0.000000
369,185,188,0.000000
370,185,189,0.000000
371,184,186,0.393939
372,184,187,0.656250
373,184,188,0.409326
374,184,189,0.296296
375,186,187,0.592593
376,186,188,0.311111
377,186,189,0.166667
378,187,188,0.200000
379,187,189,1.000000
380,188,189,0.382353
381,190,191,0.399007
382,190,193,0.216216
