edge_id,node_a,node_b,s1_star
0,1,2,0.58847100
1,1,3,0.86314401
2,2,3,0.75326317
3,1,4,0.60596956
4,2,4,1.02593780
5,3,4,0.73449028
6,5,6,0.33333249
7,5,7,-0.33333249
8,6,7,0.33333249
9,10,11,0.94081323
10,10,12,0.64117259
11,11,12,0.86402925
12,10,13,0.73924300
13,12,13,0.80602904
14,10,14,0.41316150
15,12,14,0.77194600
16,11,13,0.67009594
17,11,14,1.03551937
18,13,14,0.57046894
19,15,16,0.78054566
20,15,17,0.88090265
21,16,17,1.10039085
22,20,21,0.78933161
23,20,22,0.77294193
24,21,22,0.70675657
25,20,23,0.79218809
26,21,23,0.79709858
27,22,23,0.80495188
28,9,24,0.86991531
29,9,25,0.80462798
30,24,25,0.72614593
31,26,27,0.62211648
32,26,29,0.64394724
33,27,29,0.74667888
34,26,28,0.73193550
35,28,29,0.74175783
36,27,28,0.68155527
37,32,33,0.96164150
38,32,34,0.93749084
39,33,34,0.68862995
40,32,35,1.07544914
41,33,35,0.85788685
42,32,36,0.97437519
43,33,36,1.02818200
44,34,35,0.84068424
45,34,36,0.92928286
46,35,36,0.99103538
47,39,40,1.01628820
48,39,43,0.91709511
49,40,43,0.87705181
50,39,44,0.92717827
51,40,44,0.89654747
52,39,45,0.87924010
53,40,45,0.86415107
54,39,41,0.92616148
55,41,43,0.96702089
56,41,44,1.03125005
57,41,45,0.92919135
58,39,42,1.01953784
59,42,43,0.76290227
60,42,44,0.82345388
61,42,45,0.89786787
62,43,44,0.89833782
63,43,45,0.89154844
64,44,45,1.00723704
65,40,41,0.92856186
66,40,42,1.01258431
67,41,42,0.96226626
68,46,47,0.65219724
69,46,48,1.04394135
70,47,48,1.23417705
71,20,49,0.85702273
72,20,50,0.89012229
73,49,50,0.74847317
74,20,51,0.94674842
75,50,51,0.73572289
76,49,51,0.81050365
77,54,55,1.16946803
78,54,56,1.44753419
79,55,56,1.27812248
80,54,57,1.17025488
81,55,57,0.93226577
82,54,58,1.15506622
83,55,58,0.90622399
84,54,59,1.16058696
85,55,59,1.06887752
86,54,60,0.96945868
87,55,60,0.87001725
88,56,60,0.52188085
89,57,60,0.86197104
90,58,60,0.72236203
91,59,60,0.76818066
92,56,57,0.65702522
93,56,58,0.71373591
94,56,59,0.77222882
95,57,58,0.85318289
96,57,59,0.89090461
97,58,59,0.77300502
98,61,62,0.70732608
99,61,63,0.79657800
100,62,63,0.72243517
101,61,64,0.80539216
102,62,64,0.71583028
103,61,65,0.83043087
104,62,65,0.70228222
105,61,66,0.82722919
106,62,66,0.79267650
107,61,67,0.80681076
108,62,67,0.84682295
109,63,64,0.89401520
110,63,65,0.80709871
111,63,66,0.82095607
112,63,67,0.80260977
113,64,65,0.75651255
114,64,66,0.79607304
115,64,67,0.81201852
116,65,66,0.79773465
117,66,67,0.69432869
118,65,67,0.59242070
119,68,69,0.78422398
120,68,71,0.74480811
121,69,71,0.74468753
122,68,70,0.81941884
123,70,71,0.72371340
124,69,70,0.80220422
125,72,73,0.59204310
126,72,75,0.78708233
127,73,75,0.81755627
128,72,76,0.88013986
129,73,76,0.93819557
130,72,74,0.65474710
131,74,75,0.60351167
132,74,76,0.77031538
133,75,76,0.72629923
134,73,74,0.75981503
135,79,80,0.82301431
136,79,82,0.66250490
137,80,82,0.96135997
138,79,83,0.72299902
139,80,83,0.89324513
140,79,84,0.70673798
141,80,84,0.76861373
142,79,81,0.80091355
143,81,82,0.68112657
144,81,83,0.70299987
145,81,84,0.77267099
146,82,83,0.81575246
147,82,84,0.67678650
148,83,84,0.73122582
149,80,81,1.15545902
150,57,87,0.78671640
151,57,88,0.84543907
152,87,88,0.87897888
153,57,89,0.72606945
154,87,89,0.88779419
155,57,90,0.78653483
156,87,90,0.71795584
157,57,91,0.89939805
158,87,91,0.88528468
159,57,92,0.89295645
160,87,92,0.79785357
161,88,89,0.84270092
162,88,90,0.89739342
163,88,91,0.86648273
164,88,92,1.00822712
165,89,90,0.85900010
166,89,91,0.96915769
167,89,92,0.84840418
168,90,91,0.87259917
169,90,92,0.78235541
170,91,92,0.88073618
171,12,94,0.73958907
172,13,94,0.68574543
173,12,93,0.98244167
174,93,94,0.75721823
175,12,95,0.73869664
176,94,95,0.83170651
177,12,96,0.72517627
178,94,96,0.74980554
179,13,93,0.92856587
180,13,95,0.72475789
181,13,96,0.64571400
182,93,95,0.58888545
183,93,96,0.50704967
184,95,96,0.74354517
185,97,98,0.80348973
186,97,99,0.90754590
187,98,99,1.07437694
188,97,100,0.80883032
189,99,100,0.87151973
190,97,101,-0.12007945
191,99,101,-0.02759955
192,98,100,0.91621902
193,98,101,0.04676654
194,100,101,0.10091246
195,102,103,0.62186273
196,102,104,0.65084092
197,103,104,1.02899573
198,105,106,0.99107423
199,105,107,0.71744599
200,106,107,0.80252113
201,108,109,0.74904981
202,108,110,0.76319201
203,109,110,0.75108318
204,108,111,0.76592308
205,109,111,0.77769683
206,108,112,0.67978236
207,109,112,0.72034918
208,108,113,0.85420701
209,109,113,0.88192456
210,108,114,0.83999445
211,109,114,0.89856157
212,110,111,0.77605233
213,110,113,0.78458069
214,110,114,0.84979474
215,111,112,0.69267173
216,111,113,0.72186495
217,111,114,0.85479117
218,112,113,0.83803354
219,112,114,0.73400750
220,113,114,0.94149784
221,110,112,0.75836115
222,115,116,0.46334983
223,115,117,0.49908687
224,116,117,0.77283046
225,120,121,0.91970085
226,120,122,0.95201991
227,121,122,0.67792064
228,120,123,0.73660195
229,121,123,0.68591679
230,122,123,0.58531219
231,124,125,0.72636161
